155	0
160	2
165	0
170	0
175	1
180	0
185	0
190	0
195	1
200	1
205	1
210	1
215	1
220	0
225	2
230	0
235	1
240	0
245	1
250	1
255	0
260	1
265	0
270	0
275	0
280	2
285	0
290	0
295	1
300	0
305	0
310	0
315	0
320	0
325	0
330	0
335	0
340	0
345	1
350	0
355	0
360	0
365	0
370	0
375	2
380	0
385	0
390	1
395	0
400	0
405	0
410	0
415	0
420	0
425	0
430	0
435	0
440	0
445	0
450	0
455	0
460	1
465	0
470	0
475	0
480	0
485	0
490	0
495	0
500	0
505	1
510	0
515	1
520	0
525	1
530	0
535	0
540	0
545	0
550	0
555	0
560	0
565	0
570	2
575	0
580	2
585	1
590	0
595	0
600	0
605	0
610	0
615	0
620	0
625	0
630	0
635	0
640	0
645	1
650	0
